date,saptawara,pancawara,wuku
2026-04-04,Saniscara,Umanis,Watugunung
2026-04-05,Redite,Paing,Sinta
2026-04-06,Soma,Pon,Sinta
2026-04-07,Anggara,Wage,Sinta
2026-04-08,Buda,Kliwon,Sinta
2026-04-09,Wraspati,Umanis,Sinta
2026-04-10,Sukra,Paing,Sinta
2026-04-11,Saniscara,Pon,Sinta
2026-04-12,Redite,Wage,Landep
2026-04-13,Soma,Kliwon,Landep
2026-04-14,Anggara,Umanis,Landep
2026-04-15,Buda,Paing,Landep
2026-04-16,Wraspati,Pon,Landep
2026-04-17,Sukra,Wage,Landep
2026-04-18,Saniscara,Kliwon,Landep
2026-04-19,Redite,Umanis,Ukir
2026-04-20,Soma,Paing,Ukir
2026-04-21,Anggara,Pon,Ukir
2026-04-22,Buda,Wage,Ukir
2026-04-23,Wraspati,Kliwon,Ukir
2026-04-24,Sukra,Umanis,Ukir
2026-04-25,Saniscara,Paing,Ukir
2026-04-26,Redite,Pon,Kulantir
2026-04-27,Soma,Wage,Kulantir
2026-04-28,Anggara,Kliwon,Kulantir
2026-04-29,Buda,Umanis,Kulantir
2026-04-30,Wraspati,Paing,Kulantir
2026-05-01,Sukra,Pon,Kulantir
2026-05-02,Saniscara,Wage,Kulantir
2026-05-03,Redite,Kliwon,Taulu
2026-05-04,Soma,Umanis,Taulu
2026-05-05,Anggara,Paing,Taulu
2026-05-06,Buda,Pon,Taulu
2026-05-07,Wraspati,Wage,Taulu
2026-05-08,Sukra,Kliwon,Taulu
2026-05-09,Saniscara,Umanis,Taulu
2026-05-10,Redite,Paing,Gumbreg
2026-05-11,Soma,Pon,Gumbreg
2026-05-12,Anggara,Wage,Gumbreg
2026-05-13,Buda,Kliwon,Gumbreg
2026-05-14,Wraspati,Umanis,Gumbreg
2026-05-15,Sukra,Paing,Gumbreg
2026-05-16,Saniscara,Pon,Gumbreg
2026-05-17,Redite,Wage,Wariga
2026-05-18,Soma,Kliwon,Wariga
2026-05-19,Anggara,Umanis,Wariga
2026-05-20,Buda,Paing,Wariga
2026-05-21,Wraspati,Pon,Wariga
2026-05-22,Sukra,Wage,Wariga
2026-05-23,Saniscara,Kliwon,Wariga
2026-05-24,Redite,Umanis,Warigadian
2026-05-25,Soma,Paing,Warigadian
2026-05-26,Anggara,Pon,Warigadian
2026-05-27,Buda,Wage,Warigadian
2026-05-28,Wraspati,Kliwon,Warigadian
2026-05-29,Sukra,Umanis,Warigadian
2026-05-30,Saniscara,Paing,Warigadian
2026-05-31,Redite,Pon,Julungwangi
2026-06-01,Soma,Wage,Julungwangi
2026-06-02,Anggara,Kliwon,Julungwangi
2026-06-03,Buda,Umanis,Julungwangi
2026-06-04,Wraspati,Paing,Julungwangi
2026-06-05,Sukra,Pon,Julungwangi
2026-06-06,Saniscara,Wage,Julungwangi
2026-06-07,Redite,Kliwon,Sungsang
2026-06-08,Soma,Umanis,Sungsang
2026-06-09,Anggara,Paing,Sungsang
2026-06-10,Buda,Pon,Sungsang
2026-06-11,Wraspati,Wage,Sungsang
2026-06-12,Sukra,Kliwon,Sungsang
2026-06-13,Saniscara,Umanis,Sungsang
2026-06-14,Redite,Paing,Dunggulan
2026-06-15,Soma,Pon,Dunggulan
2026-06-16,Anggara,Wage,Dunggulan
2026-06-17,Buda,Kliwon,Dunggulan
2026-06-18,Wraspati,Umanis,Dunggulan
2026-06-19,Sukra,Paing,Dunggulan
2026-06-20,Saniscara,Pon,Dunggulan
2026-06-21,Redite,Wage,Kuningan
2026-06-22,Soma,Kliwon,Kuningan
2026-06-23,Anggara,Umanis,Kuningan
2026-06-24,Buda,Paing,Kuningan
2026-06-25,Wraspati,Pon,Kuningan
2026-06-26,Sukra,Wage,Kuningan
2026-06-27,Saniscara,Kliwon,Kuningan
2026-06-28,Redite,Umanis,Langkir
2026-06-29,Soma,Paing,Langkir
2026-06-30,Anggara,Pon,Langkir
2026-07-01,Buda,Wage,Langkir
2026-07-02,Wraspati,Kliwon,Langkir
2026-07-03,Sukra,Umanis,Langkir
2026-07-04,Saniscara,Paing,Langkir
2026-07-05,Redite,Pon,Medangsia
2026-07-06,Soma,Wage,Medangsia
2026-07-07,Anggara,Kliwon,Medangsia
2026-07-08,Buda,Umanis,Medangsia
2026-07-09,Wraspati,Paing,Medangsia
2026-07-10,Sukra,Pon,Medangsia
2026-07-11,Saniscara,Wage,Medangsia
2026-07-12,Redite,Kliwon,Pujut
2026-07-13,Soma,Umanis,Pujut
2026-07-14,Anggara,Paing,Pujut
2026-07-15,Buda,Pon,Pujut
2026-07-16,Wraspati,Wage,Pujut
2026-07-17,Sukra,Kliwon,Pujut
2026-07-18,Saniscara,Umanis,Pujut
2026-07-19,Redite,Paing,Pahang
2026-07-20,Soma,Pon,Pahang
2026-07-21,Anggara,Wage,Pahang
2026-07-22,Buda,Kliwon,Pahang
2026-07-23,Wraspati,Umanis,Pahang
2026-07-24,Sukra,Paing,Pahang
2026-07-25,Saniscara,Pon,Pahang
2026-07-26,Redite,Wage,Krulut
2026-07-27,Soma,Kliwon,Krulut
2026-07-28,Anggara,Umanis,Krulut
2026-07-29,Buda,Paing,Krulut
2026-07-30,Wraspati,Pon,Krulut
2026-07-31,Sukra,Wage,Krulut
2026-08-01,Saniscara,Kliwon,Krulut
2026-08-02,Redite,Umanis,Merakih
2026-08-03,Soma,Paing,Merakih
2026-08-04,Anggara,Pon,Merakih
2026-08-05,Buda,Wage,Merakih
2026-08-06,Wraspati,Kliwon,Merakih
2026-08-07,Sukra,Umanis,Merakih
2026-08-08,Saniscara,Paing,Merakih
2026-08-09,Redite,Pon,Tambir
2026-08-10,Soma,Wage,Tambir
2026-08-11,Anggara,Kliwon,Tambir
2026-08-12,Buda,Umanis,Tambir
2026-08-13,Wraspati,Paing,Tambir
2026-08-14,Sukra,Pon,Tambir
2026-08-15,Saniscara,Wage,Tambir
2026-08-16,Redite,Kliwon,Medangkungan
2026-08-17,Soma,Umanis,Medangkungan
2026-08-18,Anggara,Paing,Medangkungan
2026-08-19,Buda,Pon,Medangkungan
2026-08-20,Wraspati,Wage,Medangkungan
2026-08-21,Sukra,Kliwon,Medangkungan
2026-08-22,Saniscara,Umanis,Medangkungan
2026-08-23,Redite,Paing,Matal
2026-08-24,Soma,Pon,Matal
2026-08-25,Anggara,Wage,Matal
2026-08-26,Buda,Kliwon,Matal
2026-08-27,Wraspati,Umanis,Matal
2026-08-28,Sukra,Paing,Matal
2026-08-29,Saniscara,Pon,Matal
2026-08-30,Redite,Wage,Uye
2026-08-31,Soma,Kliwon,Uye
2026-09-01,Anggara,Umanis,Uye
2026-09-02,Buda,Paing,Uye
2026-09-03,Wraspati,Pon,Uye
2026-09-04,Sukra,Wage,Uye
2026-09-05,Saniscara,Kliwon,Uye
2026-09-06,Redite,Umanis,Menail
2026-09-07,Soma,Paing,Menail
2026-09-08,Anggara,Pon,Menail
2026-09-09,Buda,Wage,Menail
2026-09-10,Wraspati,Kliwon,Menail
2026-09-11,Sukra,Umanis,Menail
2026-09-12,Saniscara,Paing,Menail
2026-09-13,Redite,Pon,Parangbakat
2026-09-14,Soma,Wage,Parangbakat
2026-09-15,Anggara,Kliwon,Parangbakat
2026-09-16,Buda,Umanis,Parangbakat
2026-09-17,Wraspati,Paing,Parangbakat
2026-09-18,Sukra,Pon,Parangbakat
2026-09-19,Saniscara,Wage,Parangbakat
2026-09-20,Redite,Kliwon,Bala
2026-09-21,Soma,Umanis,Bala
2026-09-22,Anggara,Paing,Bala
2026-09-23,Buda,Pon,Bala
2026-09-24,Wraspati,Wage,Bala
2026-09-25,Sukra,Kliwon,Bala
2026-09-26,Saniscara,Umanis,Bala
2026-09-27,Redite,Paing,Ugu
2026-09-28,Soma,Pon,Ugu
2026-09-29,Anggara,Wage,Ugu
2026-09-30,Buda,Kliwon,Ugu
2026-10-01,Wraspati,Umanis,Ugu
2026-10-02,Sukra,Paing,Ugu
2026-10-03,Saniscara,Pon,Ugu
2026-10-04,Redite,Wage,Wayang
2026-10-05,Soma,Kliwon,Wayang
2026-10-06,Anggara,Umanis,Wayang
2026-10-07,Buda,Paing,Wayang
2026-10-08,Wraspati,Pon,Wayang
2026-10-09,Sukra,Wage,Wayang
2026-10-10,Saniscara,Kliwon,Wayang
2026-10-11,Redite,Umanis,Kelawu
2026-10-12,Soma,Paing,Kelawu
2026-10-13,Anggara,Pon,Kelawu
2026-10-14,Buda,Wage,Kelawu
2026-10-15,Wraspati,Kliwon,Kelawu
2026-10-16,Sukra,Umanis,Kelawu
2026-10-17,Saniscara,Paing,Kelawu
2026-10-18,Redite,Pon,Dukut
2026-10-19,Soma,Wage,Dukut
2026-10-20,Anggara,Kliwon,Dukut
2026-10-21,Buda,Umanis,Dukut
2026-10-22,Wraspati,Paing,Dukut
2026-10-23,Sukra,Pon,Dukut
2026-10-24,Saniscara,Wage,Dukut
2026-10-25,Redite,Kliwon,Watugunung
2026-10-26,Soma,Umanis,Watugunung
2026-10-27,Anggara,Paing,Watugunung
2026-10-28,Buda,Pon,Watugunung
2026-10-29,Wraspati,Wage,Watugunung
2026-10-30,Sukra,Kliwon,Watugunung
2026-10-31,Saniscara,Umanis,Watugunung
2026-11-01,Redite,Paing,Sinta
2026-11-02,Soma,Pon,Sinta
2026-11-03,Anggara,Wage,Sinta
2026-11-04,Buda,Kliwon,Sinta
2026-11-05,Wraspati,Umanis,Sinta
2026-11-06,Sukra,Paing,Sinta
2026-11-07,Saniscara,Pon,Sinta
2026-11-08,Redite,Wage,Landep
2026-11-09,Soma,Kliwon,Landep
2026-11-10,Anggara,Umanis,Landep
2026-11-11,Buda,Paing,Landep
2026-11-12,Wraspati,Pon,Landep
2026-11-13,Sukra,Wage,Landep
2026-11-14,Saniscara,Kliwon,Landep
2026-11-15,Redite,Umanis,Ukir
2026-11-16,Soma,Paing,Ukir
2026-11-17,Anggara,Pon,Ukir
2026-11-18,Buda,Wage,Ukir
2026-11-19,Wraspati,Kliwon,Ukir
2026-11-20,Sukra,Umanis,Ukir
2026-11-21,Saniscara,Paing,Ukir
2026-11-22,Redite,Pon,Kulantir
2026-11-23,Soma,Wage,Kulantir
2026-11-24,Anggara,Kliwon,Kulantir
2026-11-25,Buda,Umanis,Kulantir
2026-11-26,Wraspati,Paing,Kulantir
2026-11-27,Sukra,Pon,Kulantir
2026-11-28,Saniscara,Wage,Kulantir
2026-11-29,Redite,Kliwon,Taulu
2026-11-30,Soma,Umanis,Taulu
2026-12-01,Anggara,Paing,Taulu
2026-12-02,Buda,Pon,Taulu
2026-12-03,Wraspati,Wage,Taulu
2026-12-04,Sukra,Kliwon,Taulu
2026-12-05,Saniscara,Umanis,Taulu
2026-12-06,Redite,Paing,Gumbreg
2026-12-07,Soma,Pon,Gumbreg
2026-12-08,Anggara,Wage,Gumbreg
2026-12-09,Buda,Kliwon,Gumbreg
2026-12-10,Wraspati,Umanis,Gumbreg
2026-12-11,Sukra,Paing,Gumbreg
2026-12-12,Saniscara,Pon,Gumbreg
2026-12-13,Redite,Wage,Wariga
2026-12-14,Soma,Kliwon,Wariga
2026-12-15,Anggara,Umanis,Wariga
2026-12-16,Buda,Paing,Wariga
2026-12-17,Wraspati,Pon,Wariga
2026-12-18,Sukra,Wage,Wariga
2026-12-19,Saniscara,Kliwon,Wariga
2026-12-20,Redite,Umanis,Warigadian
2026-12-21,Soma,Paing,Warigadian
2026-12-22,Anggara,Pon,Warigadian
2026-12-23,Buda,Wage,Warigadian
2026-12-24,Wraspati,Kliwon,Warigadian
2026-12-25,Sukra,Umanis,Warigadian
2026-12-26,Saniscara,Paing,Warigadian
2026-12-27,Redite,Pon,Julungwangi
2026-12-28,Soma,Wage,Julungwangi
2026-12-29,Anggara,Kliwon,Julungwangi
2026-12-30,Buda,Umanis,Julungwangi
2026-12-31,Wraspati,Paing,Julungwangi
