date,saptawara,pancawara,wuku
2025-07-26,Saniscara,Wage,Parangbakat
2025-07-27,Redite,Kliwon,Bala
2025-07-28,Soma,Umanis,Bala
2025-07-29,Anggara,Paing,Bala
2025-07-30,Buda,Pon,Bala
2025-07-31,Wraspati,Wage,Bala
2025-08-01,Sukra,Kliwon,Bala
2025-08-02,Saniscara,Umanis,Bala
2025-08-03,Redite,Paing,Ugu
2025-08-04,Soma,Pon,Ugu
2025-08-05,Anggara,Wage,Ugu
2025-08-06,Buda,Kliwon,Ugu
2025-08-07,Wraspati,Umanis,Ugu
2025-08-08,Sukra,Paing,Ugu
2025-08-09,Saniscara,Pon,Ugu
2025-08-10,Redite,Wage,Wayang
2025-08-11,Soma,Kliwon,Wayang
2025-08-12,Anggara,Umanis,Wayang
2025-08-13,Buda,Paing,Wayang
2025-08-14,Wraspati,Pon,Wayang
2025-08-15,Sukra,Wage,Wayang
2025-08-16,Saniscara,Kliwon,Wayang
2025-08-17,Redite,Umanis,Kelawu
2025-08-18,Soma,Paing,Kelawu
2025-08-19,Anggara,Pon,Kelawu
2025-08-20,Buda,Wage,Kelawu
2025-08-21,Wraspati,Kliwon,Kelawu
2025-08-22,Sukra,Umanis,Kelawu
2025-08-23,Saniscara,Paing,Kelawu
2025-08-24,Redite,Pon,Dukut
2025-08-25,Soma,Wage,Dukut
2025-08-26,Anggara,Kliwon,Dukut
2025-08-27,Buda,Umanis,Dukut
2025-08-28,Wraspati,Paing,Dukut
2025-08-29,Sukra,Pon,Dukut
2025-08-30,Saniscara,Wage,Dukut
2025-08-31,Redite,Kliwon,Watugunung
2025-09-01,Soma,Umanis,Watugunung
2025-09-02,Anggara,Paing,Watugunung
2025-09-03,Buda,Pon,Watugunung
2025-09-04,Wraspati,Wage,Watugunung
2025-09-05,Sukra,Kliwon,Watugunung
2025-09-06,Saniscara,Umanis,Watugunung
2025-09-07,Redite,Paing,Sinta
2025-09-08,Soma,Pon,Sinta
2025-09-09,Anggara,Wage,Sinta
2025-09-10,Buda,Kliwon,Sinta
2025-09-11,Wraspati,Umanis,Sinta
2025-09-12,Sukra,Paing,Sinta
2025-09-13,Saniscara,Pon,Sinta
2025-09-14,Redite,Wage,Landep
2025-09-15,Soma,Kliwon,Landep
2025-09-16,Anggara,Umanis,Landep
2025-09-17,Buda,Paing,Landep
2025-09-18,Wraspati,Pon,Landep
2025-09-19,Sukra,Wage,Landep
2025-09-20,Saniscara,Kliwon,Landep
2025-09-21,Redite,Umanis,Ukir
2025-09-22,Soma,Paing,Ukir
2025-09-23,Anggara,Pon,Ukir
2025-09-24,Buda,Wage,Ukir
2025-09-25,Wraspati,Kliwon,Ukir
2025-09-26,Sukra,Umanis,Ukir
2025-09-27,Saniscara,Paing,Ukir
2025-09-28,Redite,Pon,Kulantir
2025-09-29,Soma,Wage,Kulantir
2025-09-30,Anggara,Kliwon,Kulantir
2025-10-01,Buda,Umanis,Kulantir
2025-10-02,Wraspati,Paing,Kulantir
2025-10-03,Sukra,Pon,Kulantir
2025-10-04,Saniscara,Wage,Kulantir
2025-10-05,Redite,Kliwon,Taulu
2025-10-06,Soma,Umanis,Taulu
2025-10-07,Anggara,Paing,Taulu
2025-10-08,Buda,Pon,Taulu
2025-10-09,Wraspati,Wage,Taulu
2025-10-10,Sukra,Kliwon,Taulu
2025-10-11,Saniscara,Umanis,Taulu
2025-10-12,Redite,Paing,Gumbreg
2025-10-13,Soma,Pon,Gumbreg
2025-10-14,Anggara,Wage,Gumbreg
2025-10-15,Buda,Kliwon,Gumbreg
2025-10-16,Wraspati,Umanis,Gumbreg
2025-10-17,Sukra,Paing,Gumbreg
2025-10-18,Saniscara,Pon,Gumbreg
2025-10-19,Redite,Wage,Wariga
2025-10-20,Soma,Kliwon,Wariga
2025-10-21,Anggara,Umanis,Wariga
2025-10-22,Buda,Paing,Wariga
2025-10-23,Wraspati,Pon,Wariga
2025-10-24,Sukra,Wage,Wariga
2025-10-25,Saniscara,Kliwon,Wariga
2025-10-26,Redite,Umanis,Warigadian
2025-10-27,Soma,Paing,Warigadian
2025-10-28,Anggara,Pon,Warigadian
2025-10-29,Buda,Wage,Warigadian
2025-10-30,Wraspati,Kliwon,Warigadian
2025-10-31,Sukra,Umanis,Warigadian
2025-11-01,Saniscara,Paing,Warigadian
2025-11-02,Redite,Pon,Julungwangi
2025-11-03,Soma,Wage,Julungwangi
2025-11-04,Anggara,Kliwon,Julungwangi
2025-11-05,Buda,Umanis,Julungwangi
2025-11-06,Wraspati,Paing,Julungwangi
2025-11-07,Sukra,Pon,Julungwangi
2025-11-08,Saniscara,Wage,Julungwangi
2025-11-09,Redite,Kliwon,Sungsang
2025-11-10,Soma,Umanis,Sungsang
2025-11-11,Anggara,Paing,Sungsang
2025-11-12,Buda,Pon,Sungsang
2025-11-13,Wraspati,Wage,Sungsang
2025-11-14,Sukra,Kliwon,Sungsang
2025-11-15,Saniscara,Umanis,Sungsang
2025-11-16,Redite,Paing,Dunggulan
2025-11-17,Soma,Pon,Dunggulan
2025-11-18,Anggara,Wage,Dunggulan
2025-11-19,Buda,Kliwon,Dunggulan
2025-11-20,Wraspati,Umanis,Dunggulan
2025-11-21,Sukra,Paing,Dunggulan
2025-11-22,Saniscara,Pon,Dunggulan
2025-11-23,Redite,Wage,Kuningan
2025-11-24,Soma,Kliwon,Kuningan
2025-11-25,Anggara,Umanis,Kuningan
2025-11-26,Buda,Paing,Kuningan
2025-11-27,Wraspati,Pon,Kuningan
2025-11-28,Sukra,Wage,Kuningan
2025-11-29,Saniscara,Kliwon,Kuningan
2025-11-30,Redite,Umanis,Langkir
2025-12-01,Soma,Paing,Langkir
2025-12-02,Anggara,Pon,Langkir
2025-12-03,Buda,Wage,Langkir
2025-12-04,Wraspati,Kliwon,Langkir
2025-12-05,Sukra,Umanis,Langkir
2025-12-06,Saniscara,Paing,Langkir
2025-12-07,Redite,Pon,Medangsia
2025-12-08,Soma,Wage,Medangsia
2025-12-09,Anggara,Kliwon,Medangsia
2025-12-10,Buda,Umanis,Medangsia
2025-12-11,Wraspati,Paing,Medangsia
2025-12-12,Sukra,Pon,Medangsia
2025-12-13,Saniscara,Wage,Medangsia
2025-12-14,Redite,Kliwon,Pujut
2025-12-15,Soma,Umanis,Pujut
2025-12-16,Anggara,Paing,Pujut
2025-12-17,Buda,Pon,Pujut
2025-12-18,Wraspati,Wage,Pujut
2025-12-19,Sukra,Kliwon,Pujut
2025-12-20,Saniscara,Umanis,Pujut
2025-12-21,Redite,Paing,Pahang
2025-12-22,Soma,Pon,Pahang
2025-12-23,Anggara,Wage,Pahang
2025-12-24,Buda,Kliwon,Pahang
2025-12-25,Wraspati,Umanis,Pahang
2025-12-26,Sukra,Paing,Pahang
2025-12-27,Saniscara,Pon,Pahang
2025-12-28,Redite,Wage,Krulut
2025-12-29,Soma,Kliwon,Krulut
2025-12-30,Anggara,Umanis,Krulut
2025-12-31,Buda,Paing,Krulut
